日期,主口径T2,裸首板T2,多头排列T2,T+1开盘
2021-08-17,1.000000,1.000000,1.000000,1.000000
2021-08-18,1.067964,1.030114,1.036695,1.008170
2021-08-19,1.007863,1.014212,1.018127,1.010303
2021-08-20,1.024497,1.018377,1.025774,1.017392
2021-08-23,1.022158,1.036095,1.047831,1.016915
2021-08-24,1.004419,1.031113,1.036703,1.014043
2021-08-25,1.008252,1.046616,1.050050,1.018538
2021-08-26,1.003748,1.050460,1.057332,1.013733
2021-08-27,1.001629,1.062412,1.068950,1.011828
2021-08-30,1.013763,1.077457,1.086548,1.025102
2021-08-31,1.018429,1.087625,1.100063,1.028116
2021-09-01,1.020169,1.052364,1.061558,1.025417
2021-09-02,1.037950,1.078457,1.094337,1.037620
2021-09-03,1.034267,1.058842,1.072391,1.036641
2021-09-06,1.051949,1.059379,1.069518,1.054049
2021-09-07,1.067545,1.078032,1.095564,1.068727
2021-09-08,1.086145,1.081778,1.103073,1.090276
2021-09-09,1.096699,1.091418,1.119461,1.091229
2021-09-10,1.085081,1.079541,1.104599,1.077996
2021-09-13,1.110790,1.100118,1.130573,1.098133
2021-09-14,1.082780,1.082153,1.105696,1.069451
2021-09-15,1.097087,1.095851,1.122119,1.085468
2021-09-16,1.092102,1.082626,1.113303,1.075743
2021-09-17,1.087308,1.077995,1.108497,1.079795
2021-09-22,1.100663,1.092636,1.127341,1.095317
2021-09-23,1.095963,1.072149,1.103551,1.095916
2021-09-24,1.075312,1.045811,1.069448,1.070657
2021-09-27,1.067688,1.016977,1.041478,1.055149
2021-09-28,1.058933,1.023263,1.049289,1.038349
2021-09-29,1.029995,0.993534,1.011743,1.008738
2021-09-30,1.045247,1.017293,1.034439,1.015961
2021-10-08,1.072578,1.010955,1.024214,1.044005
2021-10-11,1.059619,0.993270,0.999383,1.019207
2021-10-12,1.047029,0.980746,0.980566,1.010719
2021-10-13,1.022831,0.964636,0.961244,0.988547
2021-10-14,1.019863,0.964799,0.953874,0.971053
2021-10-15,1.013624,0.957927,0.935601,0.969137
2021-10-18,1.021619,0.969653,0.951140,0.982050
2021-10-19,1.023393,0.975926,0.951902,0.980687
2021-10-20,1.010778,0.981227,0.957065,0.974467
2021-10-21,0.997811,0.980466,0.956849,0.972414
2021-10-22,1.002644,0.958306,0.935122,0.984100
2021-10-25,1.009620,0.975160,0.948122,0.985070
2021-10-26,0.991305,0.966042,0.933746,0.959720
2021-10-27,0.999791,0.967109,0.935510,0.968073
2021-10-28,1.005123,0.948424,0.919164,0.972879
2021-10-29,1.006090,0.958996,0.936126,0.987680
2021-11-01,1.019852,0.973731,0.949867,1.020611
2021-11-02,1.005917,0.962594,0.943999,1.001495
2021-11-03,1.003430,0.963762,0.939091,1.004941
2021-11-04,1.024263,0.991144,0.970312,1.029200
2021-11-05,1.029596,0.979960,0.953155,1.031696
2021-11-08,1.041801,0.977095,0.952121,1.040788
2021-11-09,1.040850,0.982924,0.956402,1.036859
2021-11-10,1.051589,0.988567,0.959017,1.044565
2021-11-11,1.071526,0.994227,0.963893,1.059501
2021-11-12,1.087533,1.008990,0.984433,1.078611
2021-11-15,1.095723,1.009641,0.981271,1.086388
2021-11-16,1.079576,0.998665,0.970685,1.070280
2021-11-17,1.094652,1.012302,0.983763,1.086472
2021-11-18,1.084413,0.996420,0.963665,1.074417
2021-11-19,1.078718,1.003538,0.969948,1.073913
2021-11-22,1.088506,1.018637,0.987858,1.081284
2021-11-23,1.095278,1.024585,0.997199,1.089711
2021-11-24,1.101508,1.027940,0.998769,1.093352
2021-11-25,1.099658,1.025294,0.993903,1.093448
2021-11-26,1.090560,1.026258,0.991125,1.081612
2021-11-29,1.091615,1.034157,1.003230,1.081706
2021-11-30,1.100069,1.033273,1.001293,1.087793
2021-12-01,1.115724,1.036285,1.002996,1.101480
2021-12-02,1.096729,1.019573,0.985500,1.082111
2021-12-03,1.088736,1.014966,0.977893,1.070733
2021-12-06,1.074619,1.002087,0.965836,1.055651
2021-12-07,1.073550,0.993158,0.956634,1.056655
2021-12-08,1.077828,1.000938,0.963750,1.059233
2021-12-09,1.073919,0.999545,0.961037,1.053381
2021-12-10,1.072638,0.998174,0.958576,1.051147
2021-12-13,1.069273,1.002286,0.959973,1.049087
2021-12-14,1.072446,1.000344,0.961338,1.049161
2021-12-15,1.079300,1.000223,0.965169,1.048192
2021-12-16,1.095120,1.014298,0.979690,1.057485
2021-12-17,1.103267,1.011689,0.981084,1.057924
2021-12-20,1.114931,1.006762,0.980238,1.065372
2021-12-21,1.132004,1.016874,0.989790,1.085051
2021-12-22,1.125434,1.011609,0.981564,1.074650
2021-12-23,1.099437,0.999642,0.964769,1.049810
2021-12-24,1.084923,0.982567,0.947019,1.036922
2021-12-27,1.090893,0.979071,0.945049,1.046646
2021-12-28,1.083062,0.971996,0.935646,1.037529
2021-12-29,1.090319,0.970373,0.935785,1.040777
2021-12-30,1.114594,0.981103,0.950253,1.063543
2021-12-31,1.128901,0.983445,0.952333,1.075900
2022-01-04,1.155262,0.995967,0.970995,1.095849
2022-01-05,1.137128,0.975601,0.948522,1.075284
2022-01-06,1.159475,0.986220,0.963646,1.094942
2022-01-07,1.117835,0.961143,0.933726,1.059454
2022-01-10,1.122798,0.963993,0.936754,1.065590
2022-01-11,1.120641,0.957098,0.929422,1.066929
2022-01-12,1.135471,0.967693,0.941752,1.074944
2022-01-13,1.140690,0.964853,0.939422,1.076504
2022-01-14,1.139343,0.966502,0.944573,1.076372
2022-01-17,1.155329,0.976684,0.956126,1.088582
2022-01-18,1.118583,0.947202,0.919163,1.056250
2022-01-19,1.125264,0.943413,0.918935,1.060277
2022-01-20,1.107724,0.927113,0.907832,1.040977
2022-01-21,1.091592,0.904596,0.879282,1.024351
2022-01-24,1.067287,0.893665,0.863775,1.001572
2022-01-25,1.021014,0.862907,0.832513,0.960967
2022-01-26,1.016941,0.853536,0.826858,0.958928
2022-01-27,0.967183,0.818582,0.784165,0.900537
2022-01-28,0.966736,0.812320,0.776003,0.899904
2022-02-07,0.998892,0.822138,0.790648,0.943315
2022-02-08,1.012405,0.834983,0.795203,0.970119
2022-02-09,1.005263,0.845253,0.810329,0.963597
2022-02-10,1.036526,0.853984,0.828700,0.993564
2022-02-11,1.021407,0.848047,0.823893,0.979072
2022-02-14,0.994559,0.847975,0.814405,0.953336
2022-02-15,0.985908,0.841912,0.789046,0.951759
2022-02-16,1.008899,0.848567,0.789275,0.968418
2022-02-17,0.982734,0.834192,0.766272,0.969036
2022-02-18,1.027967,0.841422,0.775517,0.981909
2022-02-21,1.051575,0.859809,0.790005,0.992129
2022-02-22,1.014865,0.855256,0.794798,0.952821
2022-02-23,1.005679,0.862377,0.801245,0.950148
2022-02-24,1.025877,0.836566,0.777280,0.968507
2022-02-25,1.002448,0.838547,0.773564,0.948973
2022-02-28,0.974066,0.835793,0.767242,0.912117
2022-03-01,0.977123,0.838140,0.769129,0.914379
2022-03-02,0.998296,0.845005,0.779661,0.926937
2022-03-03,1.026012,0.845453,0.784118,0.948042
2022-03-04,0.994519,0.830322,0.763139,0.917681
2022-03-07,0.991571,0.823818,0.759215,0.910767
2022-03-08,0.958226,0.797896,0.735610,0.886048
2022-03-09,0.958484,0.796943,0.737624,0.894768
2022-03-10,0.956737,0.801326,0.744589,0.889516
2022-03-11,0.952301,0.795918,0.737229,0.887421
2022-03-14,0.925790,0.782098,0.721645,0.870908
2022-03-15,0.881477,0.762847,0.706615,0.833118
2022-03-16,0.887328,0.778889,0.721040,0.847099
2022-03-17,0.885850,0.789086,0.730832,0.867994
2022-03-18,0.901401,0.792763,0.734590,0.901807
2022-03-21,0.904128,0.810639,0.759693,0.927105
2022-03-22,0.928549,0.801969,0.733853,0.935539
2022-03-23,0.900909,0.794543,0.718895,0.896306
2022-03-24,0.893938,0.785082,0.712442,0.909608
2022-03-25,0.880461,0.782516,0.708310,0.869299
2022-03-28,0.875027,0.780720,0.700597,0.876901
2022-03-29,0.855884,0.775661,0.698767,0.891602
2022-03-30,0.851429,0.783712,0.706425,0.919048
2022-03-31,0.937283,0.784633,0.705006,0.924271
2022-04-01,0.947824,0.783460,0.701251,0.893546
2022-04-06,0.965230,0.789502,0.705500,0.922438
2022-04-07,0.921941,0.763981,0.678523,0.888129
2022-04-08,0.933410,0.766745,0.676991,0.889853
2022-04-11,0.894686,0.749172,0.656475,0.852936
2022-04-12,0.911612,0.752145,0.653263,0.879193
2022-04-13,0.877074,0.732787,0.628866,0.876254
2022-04-14,0.854458,0.734020,0.628419,0.853659
2022-04-15,0.767223,0.710597,0.606663,0.766506
2022-04-18,0.697882,0.703668,0.599853,0.765730
2022-04-19,0.689827,0.699792,0.598783,0.744443
2022-04-20,0.730447,0.697144,0.599836,0.777292
2022-04-21,0.744363,0.675381,0.580424,0.792101
2022-04-22,0.749730,0.660874,0.565021,0.797812
2022-04-25,0.682523,0.625345,0.534341,0.725681
2022-04-26,0.655332,0.608847,0.521333,0.675922
2022-04-27,0.620610,0.592165,0.499660,0.640590
2022-04-28,0.617426,0.587480,0.488636,0.712800
2022-04-29,0.608414,0.607627,0.492337,0.702397
2022-05-05,0.676263,0.619105,0.519084,0.749456
2022-05-06,0.668063,0.619845,0.507512,0.734641
2022-05-09,0.696960,0.631179,0.515462,0.766418
2022-05-10,0.751773,0.642953,0.528050,0.826693
2022-05-11,0.793698,0.642401,0.523832,0.872797
2022-05-12,0.812078,0.647664,0.522539,0.893008
2022-05-13,0.783130,0.651078,0.512492,0.861176
2022-05-16,0.822188,0.651401,0.512903,0.904126
2022-05-17,0.781954,0.650118,0.506376,0.859882
2022-05-18,0.735686,0.652385,0.508919,0.809003
2022-05-19,0.695279,0.656607,0.513091,0.764570
2022-05-20,0.687483,0.662215,0.515682,0.755997
2022-05-23,0.673569,0.669027,0.517668,0.740696
2022-05-24,0.676396,0.643338,0.498392,0.743805
2022-05-25,0.676396,0.650555,0.505849,0.743805
2022-05-26,0.676396,0.648334,0.500876,0.743805
2022-05-27,0.676396,0.647878,0.500097,0.743805
2022-05-30,0.676396,0.650884,0.501147,0.743805
2022-05-31,0.676396,0.653556,0.502522,0.764035
2022-06-01,0.677243,0.654651,0.503657,0.731296
2022-06-02,0.706596,0.656556,0.507201,0.754882
2022-06-06,0.700000,0.661639,0.510031,0.745314
2022-06-07,0.695164,0.657037,0.505193,0.745247
2022-06-08,0.678286,0.656219,0.505170,0.740038
2022-06-09,0.665440,0.642355,0.493407,0.732595
2022-06-10,0.678833,0.652279,0.502460,0.749510
2022-06-13,0.677284,0.657325,0.507437,0.748775
2022-06-14,0.691052,0.662871,0.513494,0.758597
2022-06-15,0.680005,0.653555,0.503901,0.751370
2022-06-16,0.673776,0.654520,0.504460,0.742541
